Word	Part-Of-Speech	Weight	Frequency
区块链	n_new	413.41	1572
舰载机	n_new	127.97	166
国际中文教育	n_new	110.89	160
辽宁舰	n_new	67.91	57
飞行甲板	n_new	65.24	96
国际中文教师	n_new	54.71	32
加密货币	n_new	53.62	60
山东舰	n_new	46.76	59
中华文化	n_new	44.80	60
海试	n_new	39.13	47
巨鲸未来	n_new	37.95	48
智能合约	n_new	36.77	26
航母编队	n_new	33.77	39
数字人民币	n_new	33.53	30
链上天眼	n_new	29.58	22
舰岛	n_new	29.40	22
弹射器	n_new	28.81	37
挖矿	n_new	28.61	25
中心化	n_new	27.67	59
万向区块链	n_new	27.34	14
稳定币	n_new	27.23	22
供应链	n_new	26.94	19
安全框架	n_new	26.88	24
本土中文教师	n_new	26.68	25
国产航母	n_new	26.50	65
应用场景	n_new	26.19	36
区块链星球	n_new	25.65	26
国民教育体系	n_new	25.12	23
政务服务	n_new	24.24	19
轻型航母	n_new	24.14	12
国际公共产品	n_new	23.98	32
解决方案	n_new	23.50	27
楼主	n_new	22.90	174
通证	n_new	22.56	18
天涯社区	n_new	22.32	53
电磁弹射	n_new	22.21	18
区块链峰会	n_new	21.39	7
华文教育	n_new	21.26	25
拦阻索	n_new	20.95	14
私有链	n_new	20.56	10
华裔家庭	n_new	20.22	16
华侨华人子女	n_new	20.17	11
华文教育基金会	n_new	19.83	14
创业邦	n_new	19.44	31
空中支援	n_new	18.93	20
舰体	n_new	18.81	16
开工建造	n_new	18.62	9
中文学习者	n_new	18.57	23
斜角甲板	n_new	18.54	9
青少儿	n_new	17.86	22
智库	n_new	17.69	15
全球治理体系	n_new	17.45	12
垂直起降	n_new	17.27	15
常规动力	n_new	17.07	16
止损	n_new	17.01	8
孔院	n_new	16.99	20
确权	n_new	16.84	7
对外汉语	n_new	16.79	11
公有链	n_new	16.76	8
时间戳	n_new	16.76	8
密钥	n_new	16.76	8
分布式账本	n_new	16.52	9
社交媒体	n_new	16.47	13
双语	n_new	16.39	14
水面舰艇	n_new	16.27	14
自然语言处理	n_new	16.17	55
公链	n_new	16.12	13
西太平洋	n_new	16.09	12
科技有限公司	n_new	15.93	13
伊丽莎白女王	n_new	15.52	42
母港	n_new	15.23	8
外籍师生	n_new	15.07	8
作战半径	n_new	15.04	10
影子系统	n_new	15.01	7
词频统计	n_new	14.96	13
阻拦索	n_new	14.91	6
隐身战斗机	n_new	14.91	6
存证	n_new	14.86	9
return value return	n_new	14.81	28
剑桥量子	n_new	14.78	5
不可篡改	n_new	14.75	10
研习营	n_new	14.72	7
稳步推进	n_new	14.58	6
区块链江湖	n_new	14.55	3
飞行甲板涂料	n_new	14.54	4
系留	n_new	14.44	7
相控阵雷达	n_new	14.44	7
满载排水量	n_new	14.36	10
青少儿中文	n_new	14.19	11
防控	n_new	13.93	13
区块链内外	n_new	13.79	2
回收舰载机	n_new	13.79	2
空中支援随叫随到	n_new	13.79	2
派中文教师	n_new	13.61	10
告诉创业邦	n_new	13.55	12
固定翼	n_new	13.54	8
区块链黑客	n_new	13.40	14
科钦	n_new	13.25	9
汉语言文学	n_new	13.11	9
滑跃	n_new	13.01	13
蒸汽弹射	n_new	13.01	11
中央银行	n_new	13.00	7
唯独区块链	n_new	12.96	5
钛媒体	n_new	12.93	8
数字欧元	n_new	12.88	5
舾装工作	n_new	12.88	5
海军上将	n_new	12.88	5
v神	n_new	12.88	5
资本实验室	n_new	12.87	13
舱壁	n_new	12.82	7
隔舱	n_new	12.79	8
封闭机库	n_new	12.63	4
止盈	n_new	12.63	4
魔法汉字	n_new	12.58	3
热议	n_new	12.57	12
初始化失败	n_new	12.51	20
中国声音	n_new	12.48	9
官网	n_new	12.47	6
币价	n_new	12.47	6
NFT热潮	n_new	12.47	6
华裔儿童	n_new	12.45	8
航母终于	n_new	12.31	10
聚类	n_new	12.15	10
汉语桥	n_new	12.04	9
废船	n_new	11.89	6
链转移	n_new	10.96	10
中方院长	n_new	10.90	6
词汇本体	n_new	10.89	5
直播课	n_new	10.84	9
隐私保护	n_new	10.83	9
本体知识	n_new	10.70	6
蚂蚁链	n_new	10.70	6
专题讲座	n_new	10.69	4
牛逼	n_new	10.69	4
安全监察员	n_new	10.69	4
起飞重量	n_new	10.69	4
近海作战	n_new	10.69	4
喷气式飞机	n_new	10.69	4
席卷全球	n_new	10.67	6
创投	n_new	10.64	15
特种钢材	n_new	10.64	5
西海岸	n_new	10.59	7
class name	n_new	10.56	10
身份认同	n_new	10.49	10
中华文明	n_new	10.39	10
不断上升	n_new	10.36	9
开发工程师	n_new	10.36	6
中国人民解放军海军	n_new	10.36	3
航运公司	n_new	10.36	3
临界质量	n_new	10.36	3
KILT协议	n_new	10.36	3
中国侨联	n_new	10.36	6
复飞	n_new	10.36	3
拉胯	n_new	10.36	3
停机区	n_new	10.36	3
高压蒸汽	n_new	10.36	3
预警直升机	n_new	10.36	3
练习中文	n_new	10.36	3
