LEONARD,-0.4646,0.093,0.034
LAWRENCE,-0.4639,0.142,0.052
CRAIG,-0.4610,0.103,0.038
HENRY,-0.4603,0.184,0.068
CHRISTIE,-0.4400,0.018,0.007
HOPE,-0.4400,0.018,0.007
HANNAH,-0.4375,0.023,0.009
ROSE,-0.4300,0.148,0.059
FELIX,-0.4286,0.030,0.012
LLOYD,-0.4074,0.057,0.024
CLIFTON,-0.4054,0.026,0.011
LESTER,-0.3939,0.046,0.020
KIM,-0.3919,0.103,0.045
CURTIS,-0.3893,0.091,0.040
ABRAHAM,-0.3846,0.018,0.008
RUDOLPH,-0.3846,0.018,0.008
THOMAS,-0.3799,0.692,0.311
GUY,-0.3636,0.030,0.014
STANLEY,-0.3381,0.093,0.046
ALLISON,-0.3333,0.046,0.023
FLOYD,-0.3333,0.054,0.027
CARLTON,-0.3103,0.019,0.010
MEREDITH,-0.3077,0.017,0.009
SYLVESTER,-0.3043,0.015,0.008
IRVING,-0.3000,0.013,0.007
CHRISTIAN,-0.2881,0.038,0.021
CASEY,-0.2727,0.042,0.024
WHITNEY,-0.2683,0.026,0.015
EVERETT,-0.2609,0.029,0.017
TYLER,-0.2603,0.046,0.027
KELLY,-0.2582,0.173,0.102
STUART,-0.2571,0.022,0.013
NOEL,-0.2000,0.018,0.012
SCOTT,-0.1957,0.275,0.185
BRADLEY,-0.1940,0.080,0.054
KENT,-0.1905,0.025,0.017
RAY,-0.1852,0.080,0.055
DREW,-0.1818,0.013,0.009
JEWELL,-0.1818,0.013,0.009
FORREST,-0.1667,0.014,0.010
GREGG,-0.1538,0.015,0.011
RUSSELL,-0.1414,0.113,0.085
LINDSEY,-0.1148,0.034,0.027
CLAYTON,-0.1111,0.030,0.024
DEAN,-0.0909,0.054,0.045
KIRK,-0.0638,0.025,0.022
AMOS,-0.0476,0.011,0.010
ERVIN,-0.0435,0.012,0.011
HOWARD,-0.0265,0.116,0.110

CAMERON,0.0000,0.021,0.021
GILBERT,0.0000,0.045,0.045
GRADY,0.0000,0.011,0.011
PAIGE,0.0000,0.010,0.010
WINSTON,0.0000,0.010,0.010

PRESTON,0.0270,0.018,0.019
RANDOLPH,0.0286,0.017,0.018
KENDALL,0.0435,0.011,0.012
ROSARIO,0.0714,0.013,0.015
CONRAD,0.0833,0.011,0.013
WARREN,0.0894,0.056,0.067
ALEXANDER,0.1111,0.068,0.085
GORDON,0.1111,0.052,0.065
MIRANDA,0.1176,0.015,0.019
HARVEY,0.1325,0.036,0.047
FRANKLIN,0.1333,0.039,0.051
TERRELL,0.1538,0.011,0.015
CLEVELAND,0.1818,0.009,0.013
BLAKE,0.1915,0.019,0.028
ARNOLD,0.2174,0.036,0.056
CAREY,0.2667,0.011,0.019
MOSES,0.2667,0.011,0.019
WADE,0.2698,0.023,0.040
SHERMAN,0.2857,0.015,0.027
TYSON,0.3000,0.007,0.013
LARA,0.3077,0.009,0.017
OWEN,0.3158,0.013,0.025
BRADFORD,0.3333,0.011,0.022
SIMON,0.3333,0.013,0.026
NEAL,0.3448,0.019,0.039
LEE,0.3456,0.107,0.220
CLAY,0.3529,0.011,0.023
ROMAN,0.3529,0.011,0.023
AVERY,0.3636,0.007,0.015
GAY,0.3636,0.007,0.015
JORDAN,0.3805,0.035,0.078
AUSTIN,0.3867,0.023,0.052
ALLEN,0.3868,0.088,0.199
HALEY,0.3913,0.007,0.016
NOLAN,0.3913,0.007,0.016
SOLOMON,0.3913,0.007,0.016
HEATH,0.4000,0.009,0.021
LUCAS,0.4074,0.016,0.038
OLIVER,0.4085,0.021,0.050
MACK,0.4091,0.013,0.031
DOYLE,0.4211,0.011,0.027
MARTIN,0.4256,0.110,0.273
CHASE,0.4375,0.009,0.023
SANTOS,0.4419,0.012,0.031
MAY,0.4545,0.015,0.040
VANCE,0.4615,0.007,0.019
LOGAN,0.4706,0.009,0.025
WALLACE,0.4727,0.029,0.081
MARSHALL,0.4851,0.026,0.075
KELLEY,0.4857,0.018,0.052
CHERRY,0.5000,0.005,0.015
GARRETT,0.5000,0.015,0.045
HESTER,0.5000,0.005,0.015
SANFORD,0.5000,0.005,0.015
WILLIS,0.5068,0.018,0.055
SANTIAGO,0.5217,0.011,0.035
DUDLEY,0.5238,0.005,0.016
CARROLL,0.5278,0.017,0.055
GRANT,0.5385,0.018,0.060
WILEY,0.5385,0.006,0.020
BRADY,0.5625,0.007,0.025
MAYNARD,0.5652,0.005,0.018
PERRY,0.5667,0.026,0.094
KIRBY,0.5714,0.006,0.022
ROSS,0.5738,0.026,0.096
BOOKER,0.5833,0.005,0.019
DALTON,0.5833,0.005,0.019
SPENCER,0.5833,0.015,0.057
MILES,0.6170,0.009,0.038
BLAIR,0.6216,0.007,0.030
MITCHELL,0.6244,0.037,0.160
MONROE,0.6296,0.005,0.022
LEWIS,0.6318,0.051,0.226
CARSON,0.6552,0.005,0.024
MORRIS,0.6556,0.026,0.125
BROCK,0.6667,0.005,0.025
JEFFERSON,0.6667,0.005,0.025
HOUSTON,0.6774,0.005,0.026
NELSON,0.6788,0.031,0.162
MAXWELL,0.6970,0.005,0.028
MORGAN,0.6978,0.021,0.118
NORRIS,0.7073,0.006,0.035
ELLIS,0.7111,0.013,0.077
VAUGHN,0.7143,0.006,0.036
BURTON,0.7358,0.007,0.046
BRYANT,0.7400,0.013,0.087
BOYD,0.7436,0.010,0.068
FLETCHER,0.7619,0.005,0.037
ELLIOTT,0.7627,0.007,0.052
SHELTON,0.7727,0.005,0.039
LANE,0.8000,0.006,0.054
MURRAY,0.8049,0.008,0.074
CRUZ,0.8072,0.008,0.075
MASON,0.8133,0.007,0.068
RILEY,0.8276,0.005,0.053
HARRISON,0.8313,0.007,0.076
GRAHAM,0.8427,0.007,0.082
STEWART,0.8472,0.011,0.133
HUNTER,0.8649,0.005,0.069
COLE,0.8824,0.005,0.080
TAYLOR,0.8906,0.018,0.311
CLARK,0.8934,0.013,0.231
BENNETT,0.9038,0.005,0.099
YOUNG,0.9109,0.009,0.193
WARD,0.9115,0.005,0.108
WILSON,0.9153,0.015,0.339
REED,0.9213,0.005,0.122
CARTER,0.9401,0.005,0.162
